domain,feature_set,n,pseudo_R2,AIC,outcome,difficulty_controlled,R2
math,counts,493,0.1102,516.7,binary,true,
math,counts+positional,493,0.1165,521.2,binary,true,
math,counts+positional+trajectory,493,0.1352,518.8,binary,true,
gpqa,counts,477,0.0352,657.1,binary,true,
gpqa,counts+positional,477,0.042,660.6,binary,true,
gpqa,counts+positional+trajectory,477,0.0539,660.8,binary,true,
planning,counts,424,0.0076,543.5,binary,true,
planning,counts+positional,424,0.0081,551.2,binary,true,
planning,counts+positional+trajectory,424,0.0163,554.9,binary,true,
code,counts,142,0.3565,119.1,binary,true,
code,counts+positional,142,0.3888,122.1,binary,true,
code,counts+positional+trajectory,142,0.4066,127.4,binary,true,
moral,counts,499,,815.0,continuous,true,0.0155
moral,counts+positional,499,,821.0,continuous,true,0.0194
moral,counts+positional+trajectory,499,,825.2,continuous,true,0.0267
idea,counts,491,,-32748.1,continuous,true,1.0
idea,counts+positional,491,,-32727.4,continuous,true,1.0
idea,counts+positional+trajectory,491,,-32715.2,continuous,true,1.0
